,year,codmpio,H_coca,coca,FARC1,FARC2
180,2002,8758,NA,NA,0,0
181,2002,8770,NA,NA,0,0
182,2002,8832,NA,NA,0,0
183,2002,8849,NA,NA,0,0
184,2002,11001,NA,NA,0,1
185,2002,13001,NA,NA,0,0
186,2002,13006,NA,NA,0,0
187,2002,13030,NA,NA,0,0
188,2002,13042,71,1,0,0
189,2002,13052,NA,NA,0,0
190,2002,13062,NA,NA,0,0
191,2002,13074,NA,NA,0,0
192,2002,13140,NA,NA,0,1
193,2002,13140,NA,NA,0,0
194,2002,13160,446,1,0,0
195,2002,13188,NA,NA,0,0
196,2002,13212,NA,NA,1,1
197,2002,13212,NA,NA,0,0
198,2002,13212,NA,NA,0,0
199,2002,13222,NA,NA,0,0
200,2002,13244,NA,NA,0,0
201,2002,13248,NA,NA,0,0
202,2002,13268,NA,NA,0,0
203,2002,13268,NA,NA,0,0
204,2002,13268,NA,NA,0,0
205,2002,13300,NA,NA,0,0
206,2002,13430,NA,NA,0,0
207,2002,13433,NA,NA,0,0
208,2002,13440,NA,NA,0,0
209,2002,13442,NA,NA,0,0
210,2002,13458,45,1,0,1
211,2002,13468,NA,NA,0,0
212,2002,13473,64,1,0,0
213,2002,13473,64,1,1,0
214,2002,13490,NA,NA,0,0
215,2002,13549,NA,NA,0,0
216,2002,13580,NA,NA,0,0
217,2002,13600,166,1,0,0
218,2002,13620,NA,NA,0,0
219,2002,13647,NA,NA,0,0
220,2002,13650,NA,NA,0,0
221,2002,13654,NA,NA,0,1
222,2002,13655,5,1,0,0
223,2002,13657,NA,NA,0,0
224,2002,13667,NA,NA,0,0
225,2002,13670,614,1,0,0
226,2002,13670,614,1,0,0
227,2002,13673,NA,NA,0,0
228,2002,13683,NA,NA,0,0
229,2002,13683,NA,NA,0,0
230,2002,13688,996,1,1,1
231,2002,13744,321,1,0,0
232,2002,13760,NA,NA,0,0
233,2002,13780,NA,NA,0,0
234,2002,13810,7,1,0,0
235,2002,13836,NA,NA,0,0
236,2002,13838,NA,NA,0,0
237,2002,13873,NA,NA,0,0
238,2002,13873,NA,NA,0,0
239,2002,13873,NA,NA,0,0
240,2002,13873,NA,NA,0,0
241,2002,13894,NA,NA,0,0
242,2002,15001,NA,NA,0,0
243,2002,15022,NA,NA,0,0
244,2002,15047,NA,NA,0,0
245,2002,15051,NA,NA,0,0
246,2002,15087,NA,NA,0,0
247,2002,15087,NA,NA,0,0
248,2002,15090,NA,NA,0,0
249,2002,15092,NA,NA,0,0
250,2002,15097,NA,NA,0,0
251,2002,15104,NA,NA,0,0
252,2002,15106,NA,NA,0,0
253,2002,15106,NA,NA,1,0
254,2002,15109,NA,NA,0,0
255,2002,15109,NA,NA,0,0
256,2002,15109,NA,NA,0,0
257,2002,15109,NA,NA,0,0
258,2002,15114,NA,NA,0,0
259,2002,15131,NA,NA,0,0
260,2002,15131,NA,NA,0,0
261,2002,15135,NA,NA,0,0
262,2002,15162,NA,NA,0,0
263,2002,15172,NA,NA,0,0
264,2002,15176,NA,NA,0,0
265,2002,15180,NA,NA,0,0
266,2002,15183,NA,NA,0,0
267,2002,15185,NA,NA,0,0
268,2002,15187,NA,NA,0,0
269,2002,15189,NA,NA,0,0
270,2002,15204,NA,NA,0,0
271,2002,15212,3,1,0,0
272,2002,15215,NA,NA,0,0
273,2002,15218,NA,NA,0,0
274,2002,15223,6,1,0,0
275,2002,15224,NA,NA,0,0
276,2002,15226,NA,NA,0,0
277,2002,15232,NA,NA,0,0
278,2002,15236,NA,NA,0,0
279,2002,15238,NA,NA,0,0
280,2002,15244,NA,NA,0,0
281,2002,15248,NA,NA,0,0
282,2002,15272,NA,NA,0,0
283,2002,15276,NA,NA,0,0
284,2002,15293,NA,NA,0,0
285,2002,15296,NA,NA,0,0
286,2002,15299,NA,NA,0,0
287,2002,15317,NA,NA,0,0
288,2002,15322,NA,NA,0,0
289,2002,15325,NA,NA,0,0
290,2002,15332,NA,NA,0,0
291,2002,15362,NA,NA,0,0
292,2002,15367,NA,NA,0,0
293,2002,15368,NA,NA,0,0
294,2002,15368,NA,NA,0,0
295,2002,15377,NA,NA,0,0
296,2002,15380,NA,NA,0,0
297,2002,15401,NA,NA,0,0
298,2002,15401,NA,NA,0,0
299,2002,15403,NA,NA,0,0
300,2002,15407,NA,NA,0,0
301,2002,15425,NA,NA,0,0
302,2002,15442,14,1,0,0
303,2002,15455,NA,NA,1,1
304,2002,15455,NA,NA,0,0
305,2002,15464,NA,NA,0,0
306,2002,15466,NA,NA,0,0
307,2002,15469,NA,NA,0,0
308,2002,15476,NA,NA,0,0
309,2002,15480,1,1,0,0
310,2002,15491,NA,NA,0,0
311,2002,15494,NA,NA,0,0
312,2002,15500,NA,NA,0,0
313,2002,15507,23,1,0,0
314,2002,15511,NA,NA,0,0
315,2002,15514,NA,NA,0,0
316,2002,15516,NA,NA,0,0
317,2002,15518,NA,NA,1,0
318,2002,15522,NA,NA,0,0
319,2002,15531,10,1,0,0
320,2002,15533,NA,NA,0,0
321,2002,15537,NA,NA,0,0
322,2002,15542,NA,NA,0,0
323,2002,15550,NA,NA,1,0
324,2002,15572,43,1,0,0
325,2002,15580,3,1,0,0
326,2002,15599,NA,NA,0,0
327,2002,15600,NA,NA,0,0
328,2002,15621,NA,NA,0,0
329,2002,15632,NA,NA,0,0
330,2002,15638,NA,NA,0,0
331,2002,15646,NA,NA,0,0
332,2002,15660,NA,NA,0,0
333,2002,15664,NA,NA,0,0
334,2002,15667,NA,NA,0,0
335,2002,15673,NA,NA,0,0
336,2002,15676,NA,NA,0,0
337,2002,15681,15,1,0,0
338,2002,15686,NA,NA,0,0
339,2002,15690,NA,NA,0,0
340,2002,15690,NA,NA,1,0
341,2002,15693,NA,NA,0,0
342,2002,15696,NA,NA,0,0
343,2002,15720,NA,NA,0,0
344,2002,15723,NA,NA,0,0
345,2002,15740,NA,NA,0,0
346,2002,15753,NA,NA,0,0
347,2002,15755,NA,NA,0,0
348,2002,15757,NA,NA,0,0
349,2002,15759,NA,NA,0,0
350,2002,15761,NA,NA,0,0
351,2002,15762,NA,NA,0,0
352,2002,15763,NA,NA,0,0
353,2002,15764,NA,NA,0,0
354,2002,15774,NA,NA,0,0
355,2002,15776,NA,NA,0,0
356,2002,15778,NA,NA,0,0
357,2002,15790,NA,NA,0,0
358,2002,15798,NA,NA,0,0
359,2002,15804,NA,NA,0,0
360,2002,15806,NA,NA,0,0
361,2002,15808,NA,NA,0,0
362,2002,15810,NA,NA,0,0
363,2002,15814,NA,NA,0,0
364,2002,15816,NA,NA,0,0
365,2002,15820,NA,NA,0,0
366,2002,15822,NA,NA,0,0
367,2002,15832,NA,NA,0,0
368,2002,15835,NA,NA,0,0
369,2002,15837,NA,NA,0,0
370,2002,15839,NA,NA,0,0
371,2002,15842,NA,NA,0,0
372,2002,15861,NA,NA,0,0
373,2002,15879,NA,NA,0,0
374,2002,15897,NA,NA,0,0
375,2002,17001,NA,NA,0,0
376,2002,17013,NA,NA,0,0
377,2002,17042,NA,NA,0,0
378,2002,17050,NA,NA,0,0
379,2002,17088,NA,NA,0,0
380,2002,17174,NA,NA,0,0
381,2002,17272,NA,NA,0,0
382,2002,17380,NA,NA,0,0
383,2002,17388,NA,NA,0,0
384,2002,17433,NA,NA,0,0
385,2002,17442,NA,NA,0,0
386,2002,17444,NA,NA,0,0
387,2002,17446,NA,NA,0,0
388,2002,17486,NA,NA,0,0
389,2002,17495,NA,NA,0,0
390,2002,17513,NA,NA,0,0
391,2002,17524,NA,NA,0,0
392,2002,17524,NA,NA,1,0
393,2002,17541,NA,NA,0,0
394,2002,17614,NA,NA,0,0
395,2002,17616,NA,NA,0,0
396,2002,17653,NA,NA,0,0
397,2002,17653,NA,NA,0,0
398,2002,17662,NA,NA,0,1
399,2002,17665,NA,NA,0,0
400,2002,17777,NA,NA,0,0
401,2002,17867,NA,NA,0,0
402,2002,17873,NA,NA,0,0
403,2002,17877,NA,NA,0,0
404,2002,18001,24,1,1,1
405,2002,18001,24,1,0,0
406,2002,18029,125,1,0,0
407,2002,18029,125,1,0,0
408,2002,18029,125,1,0,0
409,2002,18094,64,1,0,1
410,2002,18150,3989,1,0,1
411,2002,18205,581,1,0,1
412,2002,18247,3,1,1,1
413,2002,18256,3,1,0,1
414,2002,18410,201,1,1,1
415,2002,18460,172,1,0,0
416,2002,18479,4,1,0,1
417,2002,18592,246,1,1,1
418,2002,18592,246,1,1,1
419,2002,18610,655,1,0,1
420,2002,18753,606,1,1,1
421,2002,18756,1067,1,1,0
422,2002,18785,380,1,0,0
423,2002,18860,292,1,0,0
424,2002,18860,292,1,0,0
425,2002,19001,NA,NA,0,0
426,2002,19022,NA,NA,0,0
427,2002,19050,218,1,0,0
428,2002,19050,218,1,1,1
429,2002,19050,218,1,0,0
430,2002,19075,NA,NA,0,0
431,2002,19075,NA,NA,1,0
432,2002,19100,NA,NA,0,0
433,2002,19100,NA,NA,0,0
434,2002,19100,NA,NA,0,0
435,2002,19110,NA,NA,1,1
436,2002,19130,NA,NA,1,1
437,2002,19137,NA,NA,1,1
438,2002,19142,NA,NA,1,1
439,2002,19212,NA,NA,1,1
440,2002,19256,698,1,0,0
441,2002,19256,698,1,1,1
442,2002,19290,NA,NA,0,0
443,2002,19290,NA,NA,1,1
444,2002,19300,NA,NA,1,0
445,2002,19318,102,1,1,1
446,2002,19355,NA,NA,0,0
447,2002,19364,NA,NA,1,1
448,2002,19392,NA,NA,0,0
449,2002,19397,NA,NA,0,0
450,2002,19397,NA,NA,0,0
451,2002,19418,97,1,1,1
452,2002,19450,NA,NA,0,0
453,2002,19455,NA,NA,1,1
454,2002,19473,NA,NA,1,0
455,2002,19473,NA,NA,0,0
456,2002,19513,NA,NA,0,0
457,2002,19517,NA,NA,0,0
458,2002,19532,NA,NA,1,0
459,2002,19533,818,1,1,1
460,2002,19548,NA,NA,1,0
461,2002,19573,NA,NA,0,1
462,2002,19585,NA,NA,0,0
463,2002,19622,NA,NA,0,0
464,2002,19693,NA,NA,0,0
465,2002,19698,NA,NA,0,1
466,2002,19701,3,1,0,0
467,2002,19701,3,1,0,0
468,2002,19743,NA,NA,0,0
469,2002,19760,NA,NA,0,0
470,2002,19780,NA,NA,1,0
471,2002,19780,NA,NA,0,0
472,2002,19785,NA,NA,0,0
473,2002,19785,NA,NA,0,0
474,2002,19785,NA,NA,0,0
475,2002,19807,NA,NA,0,0
476,2002,19809,185,1,1,1
477,2002,19821,NA,NA,1,1
478,2002,19824,NA,NA,0,0
479,2002,19845,NA,NA,0,0
480,2002,20001,NA,NA,0,1
481,2002,20011,NA,NA,0,0
482,2002,20013,NA,NA,1,1
483,2002,20032,NA,NA,0,0
484,2002,20045,NA,NA,0,0
485,2002,20060,NA,NA,0,0
486,2002,20175,NA,NA,0,0
487,2002,20178,NA,NA,0,0
488,2002,20228,NA,NA,0,0
489,2002,20238,NA,NA,0,1
490,2002,20250,NA,NA,0,0
491,2002,20295,NA,NA,0,0
492,2002,20310,NA,NA,0,0
493,2002,20383,NA,NA,0,0
494,2002,20400,NA,NA,0,0
495,2002,20443,NA,NA,1,0
496,2002,20443,NA,NA,0,0
497,2002,20517,NA,NA,0,0
498,2002,20550,NA,NA,0,0
499,2002,20570,NA,NA,0,0
500,2002,20614,NA,NA,0,0
501,2002,20621,NA,NA,0,0
502,2002,20621,NA,NA,0,0
503,2002,20710,NA,NA,0,0
504,2002,20750,NA,NA,1,1
505,2002,20770,NA,NA,1,0
506,2002,20770,NA,NA,0,0
507,2002,20787,NA,NA,0,0
508,2002,23001,NA,NA,0,0
509,2002,23068,NA,NA,0,0
510,2002,23079,NA,NA,0,0
511,2002,23079,NA,NA,0,0
512,2002,23079,NA,NA,0,0
513,2002,23079,NA,NA,0,0
514,2002,23090,NA,NA,0,0
515,2002,23162,NA,NA,0,0
516,2002,23168,NA,NA,0,0
517,2002,23182,NA,NA,0,0
518,2002,23189,NA,NA,0,0
519,2002,23300,NA,NA,0,0
520,2002,23350,NA,NA,0,0
521,2002,23417,NA,NA,0,0
522,2002,23419,NA,NA,0,0
523,2002,23464,NA,NA,0,0
524,2002,23466,66,1,0,0
525,2002,23500,NA,NA,0,0
526,2002,23555,NA,NA,0,0
527,2002,23570,NA,NA,0,0
528,2002,23574,NA,NA,0,0
529,2002,23580,141,1,0,1
530,2002,23586,NA,NA,0,0
531,2002,23660,NA,NA,0,0
532,2002,23670,NA,NA,0,0
533,2002,23672,NA,NA,0,0
534,2002,23675,NA,NA,0,0
535,2002,23678,NA,NA,0,0
536,2002,23678,NA,NA,0,0
537,2002,23682,NA,NA,0,0
538,2002,23686,NA,NA,0,0
539,2002,23807,178,1,1,1
540,2002,23815,NA,NA,0,0
541,2002,23855,NA,NA,0,0
542,2002,25001,NA,NA,0,0
543,2002,25019,NA,NA,0,0
544,2002,25019,NA,NA,0,0
545,2002,25035,NA,NA,0,0
546,2002,25040,NA,NA,0,0
547,2002,25053,NA,NA,0,0
548,2002,25086,NA,NA,0,0
549,2002,25095,NA,NA,0,1
550,2002,25099,NA,NA,0,0
551,2002,25120,NA,NA,0,1
552,2002,25120,NA,NA,0,0
553,2002,25123,NA,NA,0,0
554,2002,25126,NA,NA,0,0
555,2002,25148,NA,NA,0,0
556,2002,25151,NA,NA,0,0
557,2002,25154,NA,NA,0,0
558,2002,25168,NA,NA,0,0
